Time,Location UID,dir,Count,Vehicle Type,Pole ID,Node ID
2022-10-09 17:00,hsq9n5wxk0ll7kno40l,W,60,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 17:00,hsq9n5wxk0ll7kno40l,E,66,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 17:00,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 17:00,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 17:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 17:00,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 18:00,sz02oh1pc8l7f44oql,W,79,small_vehicle,GRR_01_ai,947bbe401250
2022-10-09 18:00,sz02oh1pc8l7f44oql,E,87,small_vehicle,GRR_01_ai,947bbe401250
2022-10-09 18:00,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250
2022-10-09 18:00,sz02oh1pc8l7f44oql,E,1,large_vehicle,GRR_01_ai,947bbe401250
2022-10-09 18:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-10-09 18:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
2022-10-09 18:00,zmtiez2quapl7f4qc8q,E,60,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 18:00,zmtiez2quapl7f4qc8q,W,70,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 18:00,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 18:00,zmtiez2quapl7f4qc8q,W,1,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 18:00,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b
2022-10-09 18:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-10-09 18:00,hsq9n5wxk0ll7kno40l,W,60,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 18:00,hsq9n5wxk0ll7kno40l,E,64,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 18:00,hsq9n5wxk0ll7kno40l,W,1,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 18:00,hsq9n5wxk0ll7kno40l,E,1,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 18:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 18:00,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 19:00,sz02oh1pc8l7f44oql,W,39,small_vehicle,GRR_01_ai,947bbe401250
2022-10-09 19:00,sz02oh1pc8l7f44oql,E,49,small_vehicle,GRR_01_ai,947bbe401250
2022-10-09 19:00,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250
2022-10-09 19:00,sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250
2022-10-09 19:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-10-09 19:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
2022-10-09 19:00,zmtiez2quapl7f4qc8q,E,36,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 19:00,zmtiez2quapl7f4qc8q,W,39,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 19:00,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 19:00,zmtiez2quapl7f4qc8q,W,1,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 19:00,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b
2022-10-09 19:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-10-09 19:00,hsq9n5wxk0ll7kno40l,W,41,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 19:00,hsq9n5wxk0ll7kno40l,E,40,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 19:00,hsq9n5wxk0ll7kno40l,W,1,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 19:00,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 19:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 19:00,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 20:00,sz02oh1pc8l7f44oql,W,29,small_vehicle,GRR_01_ai,947bbe401250
2022-10-09 20:00,sz02oh1pc8l7f44oql,E,54,small_vehicle,GRR_01_ai,947bbe401250
2022-10-09 20:00,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250
2022-10-09 20:00,sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250
2022-10-09 20:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-10-09 20:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
2022-10-09 20:00,zmtiez2quapl7f4qc8q,E,29,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 20:00,zmtiez2quapl7f4qc8q,W,33,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 20:00,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 20:00,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-09 20:00,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b
2022-10-09 20:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-10-09 20:00,hsq9n5wxk0ll7kno40l,W,38,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 20:00,hsq9n5wxk0ll7kno40l,E,26,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 20:00,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 20:00,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-09 20:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 20:00,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6
2022-10-09 21:00,sz02oh1pc8l7f44oql,W,16,small_vehicle,GRR_01_ai,947bbe401250
2022-10-09 21:00,sz02oh1pc8l7f44oql,E,19,small_vehicle,GRR_01_ai,947bbe401250
