Time,Location UID,dir,Count,Vehicle Type,Pole ID,Node ID
2022-10-18 10:00,zmtiez2quapl7f4qc8q,E,63,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-18 10:00,zmtiez2quapl7f4qc8q,W,65,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-18 10:00,zmtiez2quapl7f4qc8q,E,3,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-18 10:00,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-18 10:00,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b
2022-10-18 10:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-10-18 10:00,hsq9n5wxk0ll7kno40l,W,63,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-18 10:00,hsq9n5wxk0ll7kno40l,E,56,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-18 10:00,hsq9n5wxk0ll7kno40l,W,1,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-18 10:00,hsq9n5wxk0ll7kno40l,E,1,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-18 10:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-10-18 10:00,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6
2022-10-18 11:00,sz02oh1pc8l7f44oql,W,118,small_vehicle,GRR_01_ai,947bbe401250
2022-10-18 11:00,sz02oh1pc8l7f44oql,E,155,small_vehicle,GRR_01_ai,947bbe401250
2022-10-18 11:00,sz02oh1pc8l7f44oql,W,3,large_vehicle,GRR_01_ai,947bbe401250
2022-10-18 11:00,sz02oh1pc8l7f44oql,E,7,large_vehicle,GRR_01_ai,947bbe401250
2022-10-18 11:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-10-18 11:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
