,Location UID,dir,Count,Vehicle Type,Pole ID,Node ID,dates,times,dates_ids,poles_ids
45,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,2.0,1,3
46,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,2.0,1,3
47,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,2.0,1,3
48,hsq9n5wxk0ll7kno40l,W,6,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,2.0,1,2
49,hsq9n5wxk0ll7kno40l,E,3,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,2.0,1,2
50,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,2.0,1,2
51,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,2.0,1,2
52,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,2.0,1,2
53,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,2.0,1,2
54,sz02oh1pc8l7f44oql,W,0,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3.0,1,1
55,sz02oh1pc8l7f44oql,E,1,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3.0,1,1
56,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3.0,1,1
57,sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3.0,1,1
58,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,3.0,1,1
59,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,3.0,1,1
60,zmtiez2quapl7f4qc8q,E,2,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3.0,1,3
61,zmtiez2quapl7f4qc8q,W,3,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3.0,1,3
62,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3.0,1,3
63,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3.0,1,3
64,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,3.0,1,3
65,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,3.0,1,3
66,hsq9n5wxk0ll7kno40l,W,5,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,3.0,1,2
67,hsq9n5wxk0ll7kno40l,E,1,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,3.0,1,2
68,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,3.0,1,2
69,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,3.0,1,2
70,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,3.0,1,2
71,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,3.0,1,2
72,sz02oh1pc8l7f44oql,W,2,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,4.0,1,1
73,sz02oh1pc8l7f44oql,E,3,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,4.0,1,1
74,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,4.0,1,1
75,sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,4.0,1,1
76,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,4.0,1,1
77,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,4.0,1,1
78,zmtiez2quapl7f4qc8q,E,2,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,4.0,1,3
79,zmtiez2quapl7f4qc8q,W,2,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,4.0,1,3
