Time,Location UID,dir,Count,Vehicle Type,Pole ID,Node ID
2022-10-26 15:00,zmtiez2quapl7f4qc8q,E,6,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 15:00,zmtiez2quapl7f4qc8q,W,6,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 15:00,zmtiez2quapl7f4qc8q,E,2,bus,GRR_03_ai,947bbe40124b
2022-10-26 15:00,zmtiez2quapl7f4qc8q,W,2,bus,GRR_03_ai,947bbe40124b
2022-10-26 15:00,hsq9n5wxk0ll7kno40l,W,82,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 15:00,hsq9n5wxk0ll7kno40l,E,98,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 15:00,hsq9n5wxk0ll7kno40l,W,11,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 15:00,hsq9n5wxk0ll7kno40l,E,10,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 15:00,hsq9n5wxk0ll7kno40l,W,6,bus,GRR_02_ai,947bbe4010b6
2022-10-26 15:00,hsq9n5wxk0ll7kno40l,E,4,bus,GRR_02_ai,947bbe4010b6
2022-10-26 16:00,sz02oh1pc8l7f44oql,W,156,small_vehicle,GRR_01_ai,947bbe401250
2022-10-26 16:00,sz02oh1pc8l7f44oql,E,168,small_vehicle,GRR_01_ai,947bbe401250
2022-10-26 16:00,sz02oh1pc8l7f44oql,W,1,large_vehicle,GRR_01_ai,947bbe401250
2022-10-26 16:00,sz02oh1pc8l7f44oql,E,4,large_vehicle,GRR_01_ai,947bbe401250
2022-10-26 16:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-10-26 16:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
2022-10-26 16:00,zmtiez2quapl7f4qc8q,E,84,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 16:00,zmtiez2quapl7f4qc8q,W,75,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 16:00,zmtiez2quapl7f4qc8q,E,5,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 16:00,zmtiez2quapl7f4qc8q,W,1,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 16:00,zmtiez2quapl7f4qc8q,E,2,bus,GRR_03_ai,947bbe40124b
2022-10-26 16:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-10-26 16:00,hsq9n5wxk0ll7kno40l,W,95,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 16:00,hsq9n5wxk0ll7kno40l,E,92,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 16:00,hsq9n5wxk0ll7kno40l,W,2,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 16:00,hsq9n5wxk0ll7kno40l,E,5,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 16:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-10-26 16:00,hsq9n5wxk0ll7kno40l,E,1,bus,GRR_02_ai,947bbe4010b6
2022-10-26 17:00,sz02oh1pc8l7f44oql,W,190,small_vehicle,GRR_01_ai,947bbe401250
2022-10-26 17:00,sz02oh1pc8l7f44oql,E,202,small_vehicle,GRR_01_ai,947bbe401250
2022-10-26 17:00,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250
2022-10-26 17:00,sz02oh1pc8l7f44oql,E,2,large_vehicle,GRR_01_ai,947bbe401250
2022-10-26 17:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-10-26 17:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
2022-10-26 17:00,zmtiez2quapl7f4qc8q,E,141,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 17:00,zmtiez2quapl7f4qc8q,W,78,small_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 17:00,zmtiez2quapl7f4qc8q,E,4,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 17:00,zmtiez2quapl7f4qc8q,W,2,large_vehicle,GRR_03_ai,947bbe40124b
2022-10-26 17:00,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b
2022-10-26 17:00,zmtiez2quapl7f4qc8q,W,1,bus,GRR_03_ai,947bbe40124b
2022-10-26 17:00,hsq9n5wxk0ll7kno40l,W,90,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 17:00,hsq9n5wxk0ll7kno40l,E,125,small_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 17:00,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 17:00,hsq9n5wxk0ll7kno40l,E,2,large_vehicle,GRR_02_ai,947bbe4010b6
2022-10-26 17:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-10-26 17:00,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6
