Time,Location UID,dir,Count,Vehicle Type,Pole ID,Node ID
2022-11-04 08:00,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250
2022-11-04 08:00,sz02oh1pc8l7f44oql,E,7,large_vehicle,GRR_01_ai,947bbe401250
2022-11-04 08:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-11-04 08:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
2022-11-04 08:00,zmtiez2quapl7f4qc8q,E,52,small_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 08:00,zmtiez2quapl7f4qc8q,W,80,small_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 08:00,zmtiez2quapl7f4qc8q,E,4,large_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 08:00,zmtiez2quapl7f4qc8q,W,7,large_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 08:00,zmtiez2quapl7f4qc8q,E,2,bus,GRR_03_ai,947bbe40124b
2022-11-04 08:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-11-04 08:00,hsq9n5wxk0ll7kno40l,W,97,small_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 08:00,hsq9n5wxk0ll7kno40l,E,39,small_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 08:00,hsq9n5wxk0ll7kno40l,W,5,large_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 08:00,hsq9n5wxk0ll7kno40l,E,7,large_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 08:00,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6
2022-11-04 08:00,hsq9n5wxk0ll7kno40l,E,3,bus,GRR_02_ai,947bbe4010b6
2022-11-04 09:00,sz02oh1pc8l7f44oql,W,157,small_vehicle,GRR_01_ai,947bbe401250
2022-11-04 09:00,sz02oh1pc8l7f44oql,E,145,small_vehicle,GRR_01_ai,947bbe401250
2022-11-04 09:00,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250
2022-11-04 09:00,sz02oh1pc8l7f44oql,E,6,large_vehicle,GRR_01_ai,947bbe401250
2022-11-04 09:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-11-04 09:00,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250
2022-11-04 09:00,zmtiez2quapl7f4qc8q,E,75,small_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 09:00,zmtiez2quapl7f4qc8q,W,93,small_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 09:00,zmtiez2quapl7f4qc8q,E,1,large_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 09:00,zmtiez2quapl7f4qc8q,W,4,large_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 09:00,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b
2022-11-04 09:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-11-04 09:00,hsq9n5wxk0ll7kno40l,W,119,small_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 09:00,hsq9n5wxk0ll7kno40l,E,68,small_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 09:00,hsq9n5wxk0ll7kno40l,W,5,large_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 09:00,hsq9n5wxk0ll7kno40l,E,2,large_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 09:00,hsq9n5wxk0ll7kno40l,W,1,bus,GRR_02_ai,947bbe4010b6
2022-11-04 09:00,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6
2022-11-04 10:00,sz02oh1pc8l7f44oql,W,125,small_vehicle,GRR_01_ai,947bbe401250
2022-11-04 10:00,sz02oh1pc8l7f44oql,E,149,small_vehicle,GRR_01_ai,947bbe401250
2022-11-04 10:00,sz02oh1pc8l7f44oql,W,5,large_vehicle,GRR_01_ai,947bbe401250
2022-11-04 10:00,sz02oh1pc8l7f44oql,E,12,large_vehicle,GRR_01_ai,947bbe401250
2022-11-04 10:00,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250
2022-11-04 10:00,sz02oh1pc8l7f44oql,E,2,bus,GRR_01_ai,947bbe401250
2022-11-04 10:00,zmtiez2quapl7f4qc8q,E,49,small_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 10:00,zmtiez2quapl7f4qc8q,W,69,small_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 10:00,zmtiez2quapl7f4qc8q,E,2,large_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 10:00,zmtiez2quapl7f4qc8q,W,5,large_vehicle,GRR_03_ai,947bbe40124b
2022-11-04 10:00,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b
2022-11-04 10:00,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b
2022-11-04 10:00,hsq9n5wxk0ll7kno40l,W,82,small_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 10:00,hsq9n5wxk0ll7kno40l,E,60,small_vehicle,GRR_02_ai,947bbe4010b6
2022-11-04 10:00,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6
